time,V(1),V(2),V(3),V(gate),I(C1),I(D1),I(L1),I(Rload),I(S1),I(Vgate),I(Vin),L1:flux,source_file,step,I(R1)
1.8584591887899748e-07,12.0,0.0021583298,23.998142,5.0,-0.9999226,-1.023996e-09,0.21583298,0.9999226,-0.21583298,0.0,-0.21583298,2.1583178e-06,morecomplex,0,
1.958459188789975e-07,12.0,0.0022783054,23.998041,5.0,-0.9999184,-1.0239958e-09,0.22783053,0.9999184,-0.22783053,0.0,-0.22783053,2.2782933e-06,morecomplex,0,
2.058459188789975e-07,12.0,0.0023982797,23.997942,5.0,-0.9999142,-1.0239956e-09,0.23982796,0.9999142,-0.23982796,0.0,-0.23982796,2.3982677e-06,morecomplex,0,
2.1584591887899752e-07,12.0,0.0025182525,23.99784,5.0,-0.99991006,-1.0239953e-09,0.25182524,0.99991006,-0.25182524,0.0,-0.25182524,2.5182405e-06,morecomplex,0,
2.2584591887899753e-07,12.0,0.0026382243,23.997742,5.0,-0.9999059,-1.0239951e-09,0.2638224,0.9999059,-0.26382244,0.0,-0.2638224,2.6382122e-06,morecomplex,0,
2.3584591887899754e-07,12.0,0.0027581945,23.997643,5.0,-0.9999017,-1.0239949e-09,0.27581945,0.9999017,-0.27581945,0.0,-0.27581945,2.7581825e-06,morecomplex,0,
2.4584591887899755e-07,12.0,0.0028781635,23.997541,5.0,-0.9998976,-1.0239947e-09,0.28781635,0.9998976,-0.28781635,0.0,-0.28781635,2.8781515e-06,morecomplex,0,
2.5584591887899756e-07,12.0,0.0029981313,23.997442,5.0,-0.9998934,-1.0239944e-09,0.29981312,0.9998934,-0.29981312,0.0,-0.29981312,2.9981193e-06,morecomplex,0,
2.6584591887899757e-07,12.0,0.0031180975,23.997341,5.0,-0.99988925,-1.0239942e-09,0.31180975,0.99988925,-0.31180975,0.0,-0.31180975,3.1180855e-06,morecomplex,0,
2.758459188789976e-07,12.0,0.0032380626,23.997242,5.0,-0.9998851,-1.023994e-09,0.32380626,0.9998851,-0.32380626,0.0,-0.32380626,3.2380506e-06,morecomplex,0,
2.858459188789976e-07,12.0,0.0033580263,23.99714,5.0,-0.9998809,-1.0239938e-09,0.33580264,0.9998809,-0.33580264,0.0,-0.33580264,3.3580143e-06,morecomplex,0,
